Titel,Untertitel,Link,Beschreibung,Stichworte
"""Eine Vielzahl unsichtbarer Aufgaben""",Interview mit Juliane Lang,https://www.bpb.de/mediathek/194396/eine-vielzahl-unsichtbarer-aufgaben,"Juliane Lang, Dissens e.V., im Interview mit Miriam Menzel auf der 4. Internationalen Konferenz zur Holocaustforschung.","Holocaust, Ausgrenzung, Drittes Reich 1933 - 1945, Nationalsozialismus, NS-Terror, Geschlechterrollen"
"""Erinnerung in einem flüchtigen, dynamischen, vergessensanfälligen Medium""",Dörte Hein auf httpasts://digitalmemoryonthenet,https://www.bpb.de/mediathek/853/erinnerung-in-einem-fluechtigen-dynamischen-vergessensanfaelligen-medium,"Dörte Hein von der Landesanstalt für Medien NRW in Düsseldorf, hielt diesen Vortrag am 15.4.2011 auf der internationalen Konferenz httpasts://digitalmemoryonthenet in Berlin.","Erinnerungskultur, Geschichte, Geschichtsvermittlung, Neue Medien, Internet"
"""Es gab Helfer und Retter, aber es gab sie selten""",Thomas Krüger auf der 3. Internationalen Konferenz zur Holocaustforschung,https://www.bpb.de/mediathek/660/es-gab-helfer-und-retter-aber-es-gab-sie-selten,"Begrüßungsrede des Präsidenten der bpb zum Thema ""Helfer, Retter und Netzwerker des Widerstands"". Thomas Krüger spricht über Menschen, die sich trauten, den Nationalsozialisten Widerstand zu leisten.","Helfer, Retter, Widerstand, Judenvernichtung, Zivilcourage, Holocaust, Nationalsozialismus, Erinnerungskultur"
"""Es geht gar nicht um die Opfer…""",Wie Angehörige und Betroffene mit dem NSU-Prozess umgehen,https://www.bpb.de/mediathek/225119/es-geht-gar-nicht-um-die-opfer-,"Seit Anfang Mai 2013 findet vor dem Oberlandesgericht in München der NSU-Prozess statt. Angehörige und Betroffene des NSU-Terrors müssen sich seitdem erneut mit den Taten der Terroristen auseinandersetzen, mancher durchlebt sein Trauma zum zweiten Ma","NSU, Rechtsterrorismus, Rechtsextremismus, rechte Gewalt, NSU-Prozess"
"""Es geht nicht ohne sie.""",Interview mit Elizabeth Harvey,https://www.bpb.de/mediathek/194394/es-geht-nicht-ohne-sie-,Elizabeth Harvey im Interview mit Miriam Menzel auf der 4. Internationalen Konferenz zur Holocaustforschung.,"Ausgrenzung, Holocaust, Drittes Reich 1933 - 1945, Nationalsozialismus, NS-Terror, Frau"
"""Es gibt keine Entschuldigung, sich nicht zu engagieren""",Jean Ziegler im Interview,https://www.bpb.de/mediathek/411/es-gibt-keine-entschuldigung-sich-nicht-zu-engagieren,Der Soziologieprofessor und UN-Sonderberichterstatter über die moralische Pflicht zu zivilgesellschaftlichem Engagement.,"Zivilgesellschaft, politische Kultur, Nichtstaatliche Organisation, Engagement"
"""Es ging darum, sich als Mensch zu behaupten""",Inhalt,https://www.bpb.de/mediathek/152943/es-ging-darum-sich-als-mensch-zu-behaupten,Der Maler Gregor-Torsten Kozik spricht über Autonome Kunst und Kultur in der DDR.,"DDR, Kunst und Kultur, Deutsche Teilung"
"""Es hat ihn keiner gezwungen""",Ein Arzt im Dienste der Stasi,https://www.bpb.de/mediathek/265/es-hat-ihn-keiner-gezwungen,KONTRASTE begleitet ein Opfer zu seinem Peiniger. Der Stasi-Psychiater hatte dem Häftling Psychopharmaka verabreicht und ihn dann verhört. Heute darf er als niedergelassener Arzt weiter praktizieren.,"Mediziner, Ministerium für Staatssicherheit, Inoffizieller Mitarbeiter, DDR 1949 - 1990 / Wirtschaft, Umwelt, Sozialstaat, Psychiatrie"
"""Es hat nie eine Vertreibung als Selbstzweck gegeben.""",Eine Diskussion über Vertreibung und Versöhnung.,https://www.bpb.de/mediathek/337/es-hat-nie-eine-vertreibung-als-selbstzweck-gegeben-,Im Rahmen einer Podiumsdiskussion thematisieren die Kinder von Vertriebenen verschiedene Arten der Reflektion von Geschichte. Auch über ein Zentrum gegen Vertreibungen wird dabei diskutiert.,"Vertreibung, Flucht, Zweiter Weltkrieg, Zweiter Weltkrieg, Nachkriegsgeschichte, Kriegsfolgen"
"""Es ist wichtig, dass Lernende zu Konflikten unterschiedliche Positionen sehen""",Inhalt,https://www.bpb.de/mediathek/262802/es-ist-wichtig-dass-lernende-zu-konflikten-unterschiedliche-positionen-sehen,"Die freien Bildungsmaterialien zur Europäischen Schuldenkrise begleiten das bpb-Dossier mit Hintergrundtexten, relevantem Datenmaterial und Arbeitsblättern. Till van Treeck hat das didaktische Material entwickelt und erzählt im Interview, welche Inha","freie Bildungsmaterialien, OER, Bildung, Schule, Open Educational Resources, europäische Schuldenkrise"
"""Es war immer nur eine kleine Minderheit, die so mutig handelte.""",Thomas de Maizière auf der 3. Internationalen Konferenz zur Holocaustforschung,https://www.bpb.de/mediathek/648/es-war-immer-nur-eine-kleine-minderheit-die-so-mutig-handelte-,"Der Bundesinnenminister Dr. Thomas de Maizière spricht bei der 3. Internationalen Konferenz zur Holocaustforschung über Aufarbeitung, Erinnerung und demokratisches Engagement.","Helfer, Retter, Zivilcourage, Judenvernichtung, Widerstand, Holocaust, Nationalsozialismus, Erinnerungskultur"
"""Europas heterogene Erinnerungsgemeinschaft""",Claus Leggewie auf httpasts://digitalmemoryonthenet 14.04.2011,https://www.bpb.de/mediathek/848/europas-heterogene-erinnerungsgemeinschaft,"Claus Leggewie, Kulturwissenschaftliches Institut Essen, hielt diesen Eröffnungsvortrag ""Virtuelle Erinnerung? Globale und europäische Perspektiven"" am 14.04.2011 auf der internationalen Konferenz httpasts://digitalmemoryonthenet  in Berlin.","Erinnerungskultur, Geschichte, Internet, Kollektive Erinnerung"
"""Frei.Wild"" - Die Erben der ""Böhsen Onkelz""?",Podiumsdiskussion zu der Debatte um die Tiroler Deutschrock-Band,https://www.bpb.de/mediathek/182102/frei-wild-die-erben-der-boehsen-onkelz,"Es diskutieren: Heribert Schiedel, Dokumentationsarchiv österreichischer Widerstand; Thomas Kuban, Journalist; Ulrike Zöller, Hörfunkjournalistin; Janos Varga, Blogger. Moderation: Julia Janke, Bayerischer Rundfunk","Identity Rock, Rechtsrock, Frei.Wild, Thomas Kuban, Böhse Onkelz, Musik, Rechtsextremismus, Rechtsradikalismus"
"""Frieden machen""",Podiumsdiskussion und Ausstellungseröffnung der Bundeszentrale für politische Bildung zu ziviler Friedensarbeit,https://www.bpb.de/mediathek/265390/frieden-machen,"Am 12. Februar lud die Bundeszentrale für politische Bildung zur Podiumsdiskussion ""Frieden machen - Wie geht das?"" in die Evangelische Schule Berlin Zentrum ein. Mit der Veranstaltung wurde die Ausstellung ""Frieden machen"" eröffnet. Hier finden Sie ","Frieden, Ausstellung, Podiumsdiskussion, Friedensarbeit, Friedenskräfte"
"""From Kebab at the Corner to Top-Level Terrorism"" Fatih Çevikkollu, satirist, Cologne",Inhalt,https://www.bpb.de/mediathek/301965/from-kebab-at-the-corner-to-top-level-terrorism-fatih-cevikkollu-satirist-cologne,Interview with Fatih Çevikkollu and excerpts from his program,"Fatih Çevikkollu, satirist, Cologne"
"""Ganz kurz ein Moment totaler Euphorie""",Inhalt,https://www.bpb.de/mediathek/154812/ganz-kurz-ein-moment-totaler-euphorie,"Der Schriftsteller Johannes Jansen spricht über Autonome Kunst und Kultur in der DDR, u.a. über den großartigen Moment der Gemeinsamkeit im Herbst 1989.","DDR, Kunst und Kultur, Friedliche Revolution, DDR 1949 - 1990 / Opposition, Mauerfall"
"""Geht wählen!""",Wahlaufruf zur Bundestagswahl 2009 von Hennes Bender,https://www.bpb.de/mediathek/659/geht-waehlen,Immer auf Zack. Dennoch hat sich der wuselige Ruhrpott-Comedian in Berlin verlaufen. Einen Weg findet er jedoch immer: den zur Wahl-Urne.,"Wahlen, Bundestagswahl, politisches Engagement, Demokratie"
"""Gemeinschaft geht durch individuelles Lernen nicht verloren""",Interview: Individualisiertes Lernen,https://www.bpb.de/mediathek/278698/gemeinschaft-geht-durch-individuelles-lernen-nicht-verloren,"Dr. Heike Schaumburg ist Mitverfasserin der Studie „Personalisiertes Lernen mit digitalen Medien“ der Robert Bosch Stiftung. Im Interview erklärt sie, wie digitale Medien individuelle Lernformen unterstützen können und warum Unterricht trotzdem gemei","individualisiertes Lernen, Lernumgebungen, Freiräume, Lernprogramme, Studie"
"""Gewalt ist ein großes Thema""",Interview mit der Aussteigerin Tanja Privenau,https://www.bpb.de/mediathek/228257/gewalt-ist-ein-grosses-thema,"Jahrelang lebte sie in der rechtsextremen Szene, erzog ihre Kinder zu Nationalsozialisten. Sie stieg aus diesem sektenähnlichen Leben aus. Und fürchtet seitdem um ihr Leben.","Rechtsextremismus, Dossier Rechtsextremismus, Neonazis und Kinder"
"""Ghana Blasters"" feiern WM-Premiere",Andrews Owusu im Interview,https://www.bpb.de/mediathek/388/ghana-blasters-feiern-wm-premiere,Der Erste Sekretär der Botschaft Ghanas spricht über die Fortschritte des ghanesischen Fußballs im internationalen Vergleich.,"Fußball-WM 2006, Fußballweltmeisterschaft"
"""Großbritannien hat die 'Masseneinwanderung' erfolgreich bewältigt""",Shamit Saggar von der Universität Essex (GB) im Interview,https://www.bpb.de/mediathek/182448/grossbritannien-hat-die-masseneinwanderung-erfolgreich-bewaeltigt,Shamit Saggar über den Umgang mit rechtspopulistischen Diskursen in Großbritannien.,"Rechtspopulismus, UKIP, Einwanderung, Rechtsextremismus, Rechtsradikalismus, Europawahl, Partei"
"""Guter Journalismus hat mit Distanz zu tun""",Interview mit Harald Martenstein zur Ausbildung im Journalismus,https://www.bpb.de/mediathek/152201/guter-journalismus-hat-mit-distanz-zu-tun,"Zum 30. Geburtstag des bpb-Magazins für Lokaljournalisten ""drehscheibe"" wirft der Journalist, Autor und Kolumnist im Video-Interview einen Blick auf die journalistische Ausbildung.","Lokaljournalismus, Ausbildung, Journalismus, Medien, Presse, Digitalisierung"
"""Hayat"" – Hilfe für Eltern von Jugendlichen in der salafistischen oder djihadistischen Szene",Inhalt,https://www.bpb.de/mediathek/290228/hayat-hilfe-fuer-eltern-von-jugendlichen-in-der-salafistischen-oder-djihadistischen-szene,"In Kontakt bleiben! Das rät die Organisation Hayat Eltern, deren Kinder sich der salafistischen oder djihadistischen Szene anschließen. Ihre Arbeit stellt der Film vor. ","Extremismus, Salafismus, Djihadismus, Extremismusprävention, Islam; Fundamentalismus; Salafisten; Jugendliche; Radikalisierung; Islamischer Staat"
"""Heute dominieren die Bürgerinitiativen""",20 Jahre Einheit – Lokaljournalismus in Ostdeutschland,https://www.bpb.de/mediathek/144838/heute-dominieren-die-buergerinitiativen,"Lothar Mahrla, stellvertretender Chefredakteur der Märkischen Allgemeinen, spricht über die Herausforderungen, mit denen sich die brandenburger Regionalzeitung in den vergangenen zwei Jahrzehnten konfrontiert sah.  Am 3. Oktober wird die Deutsche Ein","Zeitung, Deutsche Einheit, Lokaljournalismus, Medien, Presse"
"""Hilfe kommt nicht aus dem Nichts""",Bob Moore im Interview (auf englisch),https://www.bpb.de/mediathek/192742/hilfe-kommt-nicht-aus-dem-nichts,Warum wurden in einigen Städten und Dörfern in Westeuropa viele Juden von Einwohnern versteckt und vor dem Tod gerettet - und in anderen nicht? Dieser Frage geht Bob Moore im Interview nach.,"Nationalsozialismus, Holocaust, Drittes Reich 1933 - 1945, Helfer, Judenvernichtung"
"""Ich bin kein Verbrecher""",Die Deserteure der NVA,https://www.bpb.de/mediathek/557/ich-bin-kein-verbrecher,"Viele Soldaten, die in der DDR wegen Desertation aus der NVA verurteilt wurden, bemühen sich seit der Einheit vergeblich um eine Rehabilitierung. KONTRASTE schildert ihre Geschichte.","Deserteur, MIlitärdienst, DDR 1949 - 1990, NVA"
"""Ich bin Özlem""",Lesung von und Diskussion mit Dilek Güngör,https://www.bpb.de/mediathek/302456/ich-bin-oezlem,"Lesung von und Diskussion mit Dilek Güngör über ihren Roman ""Ich bin Özlem"", in dem sie die Herausforderung der Identitätsfindung jener thematisiert, deren Eltern oder Großeltern nach Deutschland kamen und heute in einer Gesellschaft leben, die beses","Selbstzweifel, Identitätsfindung, Herkunft, Zugehörigkeit"
"""Ich habe ein behindertes Kind""",DDR-Doping und die Folgen,https://www.bpb.de/mediathek/649/ich-habe-ein-behindertes-kind,"Trainer und Sportmediziner in der DDR gaben ihren Schützlingen verbotene leistungssteigernde Substanzen. KONTRASTE schildert, wie Funktionäre rücksichtslos die Überlegenheit des Sozialismus im Sport demonstrieren wollten.","Doping, Leistungssport, DDR 1949 - 1990, Aufarbeitung, Olympische Spiele"
"""Ich habe nicht den Besserwessi gespielt""",20 Jahre Einheit – Lokaljournalismus in Ostdeutschland,https://www.bpb.de/mediathek/144836/ich-habe-nicht-den-besserwessi-gespielt,"Hartwig Hochstein, ehemaliger Chefredakteur der Leipziger Volkszeitung, blickt auf die Jahre nach der Deutschen Einheit zurück und erzählt, wie sich das Zeitungsmachen in Ost und West unterschied.","Lokalzeitung, Lokaljournalismus, Zeitung, Deutsche Einheit, Rundfunk- / Pressefreiheit, Zensur"
"""Ich kenne meine Feinde"" – Die türkische Community und der NSU",Weitere Informationen,https://www.bpb.de/mediathek/175587/ich-kenne-meine-feinde-die-tuerkische-community-und-der-nsu,Unter Migrantinnen und Migranten verbreitete der NSU Angst und Schrecken - auch ohne ein einziges Bekennerschreiben. Gerade in der türkischen Community kam lange vor dem Auffliegen des NSU der Verdacht auf: Hinter den gezielten Morden und Anschlägen ,"Rechtsextremismus, NSU, Rechtsradikalismus, Terrorismus, innere Sicherheit"
"""Ich staune über das kurze Gedächtnis""",Die Stasi-Vorwürfe gegen Gregor Gysi,https://www.bpb.de/mediathek/693/ich-staune-ueber-das-kurze-gedaechtnis,"KONTRASTE dokumentiert Stasi-Akten zum Fall Gysi. Katja Havemann, die Frau des DDR-Dissidenten Robert Havemann, ergänzt das Puzzle mit ihren persönlichen Erlebnissen.","Ministerium für Staatssicherheit, DDR 1949 - 1990, Inoffizieller Mitarbeiter, Aufarbeitung, Die Linke, SED"
"""Im Umgang mit der AfD dürfen die Medien auch Gegnerschaft wagen""",Inhalt,https://www.bpb.de/mediathek/245078/im-umgang-mit-der-afd-duerfen-die-medien-auch-gegnerschaft-wagen-,"Georg Diez ist Autor beim Spiegel und findet den Umgang der Medien mit der AfD falsch. Anstatt Vertreter der Partei in Talkshows einzuladen und sie wie eine ""gewöhnliche"" Partei zu behandeln, findet Diez, man solle einen mutigeren Umgang wagen.","Medienkritik, Lügenpresse, Alternative für Deutschland, Demokratie"
"""Importance of the Family and Tradition for Second Generation of Migrants from Bosnia and Herzegovina in Constructing of Migrant Networks""","Bojana Miodragović, Senior Teaching Assistant Department of Sociology, Faculty of Political Sciences, University of Banja Luka, Bosnia and Herzegovina",https://www.bpb.de/mediathek/237532/importance-of-the-family-and-tradition-for-second-generation-of-migrants-from-bosnia-and-herzegovina-in-constructing-of-migrant-networks,"Bojana Miodragović gibt einen Einblick in ihr Forschungsthema während der Poster Session auf der ""Deutschlandforschertagung 2016 - Children of Transition, Children of War"" vom 3. bis 5. November in Wien.",Deutschlandforschertagung 2016
"""In einer digitalen Gesellschaft macht analoge Schule keinen Sinn""",Interview: Tablets in der Grundschule,https://www.bpb.de/mediathek/270577/in-einer-digitalen-gesellschaft-macht-analoge-schule-keinen-sinn,"Verena Knoblauch unterrichtet Tablet-Klassen in der Primarstufe. Sie trifft auf begeisterte Kinder, unsichere Eltern und eine skeptische Gesellschaft. Von ihren Erfahrungen erzählt sie im Interview.","Digitale Gesellschaft, Grundschule, Tablet, Digitale Medien"
"""Jede Fluchterfahrung bekommt ein Gesicht""",Weitere Informationen,https://www.bpb.de/mediathek/254275/jede-fluchterfahrung-bekommt-ein-gesicht,"""Refugee Eleven"" ist ein crossmediales Bildungsprojekt zu den Themen Flucht und Asyl. Im Mittelpunkt steht eine elfteilige Webvideo-Serie, in der junge geflüchtete Amateurfußballer mit Fußballprofis zusammenkommen, um über die eigenen Migrationserfah","Flucht, Asyl, refugee eleven, Fußball, Migration, Willkommensklasse, Unterrichtsmaterial"
"""Jeder konnte ein Helfer werden""","Barbara Schieb im Interview über die ""stillen Helfer""",https://www.bpb.de/mediathek/192746/jeder-konnte-ein-helfer-werden,"Während des Zweiten Weltkrieges gab es immer wieder Einzelpersonen, die Juden auf unterschiedliche Weise halfen und das Leben retteten. Wer waren diese ""stillen Helfer""? Darüber spricht Barbara Schieb im Interview.","Nationalsozialismus, Holocaust, Helfer, Judenverfolgung, ziviler Widerstand, Drittes Reich 1933 - 1945"
"""Jetzt ist man verblüfft, wie gefährlich denen das erschien.""",Inhalt,https://www.bpb.de/mediathek/154809/jetzt-ist-man-verbluefft-wie-gefaehrlich-denen-das-erschien-,"Der Kurator Jürgen Schweinebraden spricht über autonome Kunst und Kultur in der DDR und über seine Beweggründe, eine inoffizielle Galerie aufzubauen.","DDR, Kunst und Kultur, DDR 1949 - 1990 / Opposition, Deutsche Teilung"
